IDSTUD, MP61026, MP61273, MP61034, MP61040, MP61228, MP61166, MP61171, MP61222, MP61275, MP61027, MP61255, MP61021, MP61043, MP61151, MP61172, MP61223
50790118,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
50820808,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
50820816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
50820824,1,1,0,1,,0,0,1,0,1,0,0,0,1,0,1
50840503,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
50840511,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
50840519,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50860406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
50860414,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
50860422,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
50890103,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
50890111,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1
50890119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50900108,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1
50920507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50920515,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1
50920523,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
50960201,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
50960209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50960217,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
50970502,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1
50970510,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
50970518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50970526,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1
50980303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
50980311,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
50980319,1,0,0,1,,1,1,1,1,1,1,0,1,1,0,1
51030104,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1
51030112,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
51030120,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1
51060303,1,1,1,0,,,,,1,1,0,0,1,1,0,1
